,Team_name,Player,Nationality,Transfer_status,Previous club,New club,Fee
0,Arsenal,Marquinhos,Brazil,New signing,Sao Paulo,Arsenal,£3m
1,Arsenal,Fabio Vieira,Portugal,New signing,Porto,Arsenal,£30m
2,Arsenal,Matt Turner,United States,New signing,New England Revolution,Arsenal,£8m
3,Arsenal,Gabriel Jesus,Brazil,New signing,Man City,Arsenal,£45m
4,Arsenal,Oleksandr Zinchenko,Ukraine,New signing,Manchester City,Arsenal,£32m
5,Arsenal,Leandro Trossard,Belgium,New signing,Brighton,Arsenal,£26m
6,Arsenal,Jakub Kiwior,Poland,New signing,La Spezia,Arsenal,£20m
7,Arsenal,Jorginho,Italy,New signing,Chelsea,Arsenal,£12m
8,Arsenal,Dinos Mavropanos,Greece,Departure,Arsenal,Stuttgart,Undisclosed
9,Arsenal,Alexandre Lacazette,France,Departure,Arsenal,Lyon,Free
10,Arsenal,Jonathan Dinzeyi,England,Departure,Arsenal,Released,Free
11,Arsenal,Joel Lopez,Spain,Departure,Arsenal,Released,Free
12,Arsenal,Jordan McEneff,Ireland,Departure,Arsenal,Released,Free
13,Arsenal,Tyreece John-Jules,England,Departure,Arsenal,Ipswich,Loan
14,Arsenal,Omar Rekik,Tunisia,Departure,Arsenal,Sparta Rotterdam,Loan
15,Arsenal,Mika Biereth,Denmark,Departure,Arsenal,Waalwijk,Loan
16,Arsenal,Jordi Osei-Tutu,England,Departure,Arsenal,Bochum,Free
17,Arsenal,Dan Ballard,Northern Ireland,Departure,Arsenal,Sunderland,Undisclosed
18,Arsenal,Matteo Guendouzi,France,Departure,Arsenal,Marseille,€10.5m
19,Arsenal,Austin Trusty,United States,Departure,Arsenal,Birmingham City,Loan
20,Arsenal,Omari Hutchinson,Jamaica,Departure,Arsenal,Chelsea,Undisclosed
21,Arsenal,Marcelo Flores,Mexico,Departure,Arsenal,Real Oviedo,Loan
22,Arsenal,Arthur Okonkwo,England,Departure,Arsenal,Crewe Alexandra,Loan
23,Arsenal,Nuno Tavares,Portugal,Departure,Arsenal,Marseille,Loan
24,Arsenal,Bernd Leno,Germany,Departure,Arsenal,Fulham,£8m
25,Arsenal,Folarin Balogun,England,Departure,Arsenal,Stade de Reims,Loan
26,Arsenal,Charlie Patino,England,Departure,Arsenal,Blackpool,Loan
27,Arsenal,Lucas Torreira,Uruguay,Departure,Arsenal,Galatasaray,Undisclosed
28,Arsenal,Pablo Mari,Spain,Departure,Arsenal,Monza,Loan
29,Arsenal,Alex Runarsson,Iceland,Departure,Arsenal,Antalyaspor,Loan
30,Arsenal,Brooke Norton-Cuffy,England,Departure,Arsenal,Coventry,Loan
31,Arsenal,Salah-Eddine Oulad M'hand,Netherlands,Departure,Arsenal,Hull City,Loan
32,Arsenal,Nicolas Pepe,Cote d'Ivoire,Departure,Arsenal,Nice,Loan
33,Arsenal,Miguel Azeez,England,Departure,Arsenal,Wigan,Loan
34,Arsenal,Ainsley Maitland-Niles,England,Departure,Arsenal,Southampton,Loan
35,Arsenal,James Olayinka,England,Departure,Arsenal,Cheltenham Town,Undisclosed
36,Arsenal,Hector Bellerin,Spain,Departure,Arsenal,Barcelona,Free
37,Arsenal,Tim Akinola,Nigeria,Departure,Arsenal,Chesterfield,Loan
38,Arsenal,Arthur Okonkwo,England,Departure,Arsenal,SK Sturm Graz,Loan
39,Arsenal,Ovie Ejeheri,England,Departure,Arsenal,SJK Seinajoki,Loan
40,Arsenal,Harry Clarke,England,Departure,Arsenal,Ipswich Town,Undisclosed
41,Arsenal,Marquinhos,Brazil,Departure,Arsenal,Norwich City,Loan
42,Arsenal,Omar Rekik,Tunisia,Departure,Arsenal,Wigan Athletic,Loan
43,Arsenal,Cedric Soares,Portugal,Departure,Arsenal,Fulham,Loan
